name,city,website,domain,lead_score,qualification_reason
FEEL IT SERVICES,,https://www.feel-it-services.com/en/#main,feel-it-services.com,8,"Nearshore software development firm (12 years) with strong R&D doing AI automation, big data, managed IT and cybersecurity/pentesting."
BlueLight,,https://www.bluelightsoftware.co/,bluelightsoftware.co,8,"Builds its own software products and provides enterprise software engineering, cloud engineering and BI/AI-driven automation with senior developers."
Zeren Software,,https://www.zerensoftware.com/,zerensoftware.com,8,"IT/consultancy (16+ years) delivering bespoke software, cloud, data engineering, AI/ML, cybersecurity and SAP via staff augmentation, BOT and agile delivery."
ZANEFFI SRL,,https://zaneffi.com/,zaneffi.com,8,"Builds sovereign AI and data solutions (knowledge management, AI agents, intelligent automation) with real enterprise deployments (Stellantis, industrial)."
Codemart,,https://codemart.ro/,codemart.ro,8,"Cluj near-shoring pioneer (since 2004) building deep custom software, including the critically-acclaimed Virtual Brain / BrainXplore neuroscience platforms."
Anfa Engineering,,https://anfaengineering.com/,anfaengineering.com,8,"Engineering company (15+ years) doing electronics design, embedded software development, prototyping/testing and design recovery."
Zynk Software,,http://www.zynksoftware.com/,zynksoftware.com,8,"Unreachable at fetch time; blurb describes a 13-year end-to-end software development provider building mobile apps, web platforms and big-data software products"
CustomSoft,,https://www.customsoft.io/,customsoft.io,8,"Technology company doing engineering, web/mobile and e-commerce development, software analysis/consulting, automated testing and AI (mAIa) for market leaders."
20Robots Technologies,,https://20robots.tech/,20robots.tech,8,"AI-integration and custom software development firm doing intelligent document processing, chatbots, custom CRM and automation for private and government sector"
Krypton Labs,,https://www.kryptonlabs.io/,kryptonlabs.io,8,"AI and blockchain/Web3 development company building smart contracts, DeFi, wallets and NFTs plus enterprise/custom software, web development and DevOps."
Kheprix,,https://www.kheprix.com/,kheprix.com,8,Custom software development firm (since 2006) doing full-stack desktop and web application development (C#/.NET/Python/C++/Delphi) with Docker/SSIS/SSAS.
Ascendro,,http://ascendro.de/,ascendro.de,8,"Nearshore software development company doing custom web software, team augmentation, cloud and DevOps (React/Angular/Node/Java) for automotive, healthcare and f"
AlgoTech Solutions,,https://www.algotech.solutions/,algotech.solutions,8,"React and Node.js specialist software house designing, building and maintaining web/mobile applications and SaaS products."
Nearshore Romania,,https://nearshore-romania.com/,nearshore-romania.com,8,"ROPARDO's software development outsourcing brand (since 1994) doing product development, dedicated teams, MVP, QA, mobile and enterprise portals (Java/.NET) wit"
Computaris,,https://www.computaris.com/,computaris.com,8,"Custom software development, system integration and technical consultancy with an elite competence center across telecom, banking and healthcare (conversational"
ArtSoft Consult,,https://www.artsoft-consult.ro/,artsoft-consult.ro,8,"20+ year Romanian IT company doing custom software development (Java/C++/.NET/PHP), mobile apps, testing and AI-driven solutions (also BPO)."
Xentient Labs,,https://xentient.io/,xentient.io,8,"Industrial software engineering firm bridging OT/IT with automation platforms, OPC UA & FDI integration and custom device-communication stacks."
Qwertee Technology,,https://www.qwertee.io/,qwertee.io,8,"Big-data/ML engineering company doing MLOps, DataOps/lakehouse, data science & GenAI and ML platform IaC plus product measurement/dashboards."
Redbee Software,,https://redbeesoftware.com/,redbeesoftware.com,8,ISO 9001/27001-certified AWS-partner custom software development firm building web and mobile products with Odoo ERP and certified developers.
OceanoBe Technology,,https://oceanobe.com/,oceanobe.com,8,End-to-end software solution company building fintech/banking/payment software with engineering excellence in Java/Angular/React/.NET.
DX Software,,https://www.dxsoftware.net/,dxsoftware.net,8,"Blockchain and software development company building dApps/crypto solutions plus web/mobile/desktop software with DevOps, UI/UX and QA."
Hibyte Intelli SRL,,https://hibyte.ro/homepage/,hibyte.ro,8,"Engineering team building reliable custom software and AI products for industrial work, with senior engineers owning every decision and outcome."
AFI OPS TECHNOLOGIES,,https://www.afiops.com/,afiops.com,8,"Software development company doing custom software, big data & analytics, cloud (AWS/Azure/GCP), blockchain/Web3 and dedicated teams."
XCODES DEVELOPMENT,,https://xcodesdevelopment.com/,xcodesdevelopment.com,8,"Software studio designing, building and deploying tailored AI-native web, mobile and AI products."
FXBITS,,https://fxbits.io/,fxbits.io,8,"IT services firm offering technical audits/due diligence (code, architecture, security, AI readiness) and a five-layer AI software-delivery operating model."
Sensidev,,https://sensidev.com/,sensidev.com,8,Custom software development company building web/mobile apps and AI-driven automation with dedicated teams from ideation to deployment.
Soluzyapp SRL,,https://soluzy.app/,soluzy.app,8,"Builds reliable custom business software systems, automation platforms and AI integrations/agents with system integrations for European clients."
XCODES,,https://xcodes.com/,xcodes.com,8,"Custom software development company (since 2018) specializing in web apps, mobile apps, AI-powered solutions, cloud services and DevOps."
Algo mediaSOFT SRl,,https://algomediasoft.com/,algomediasoft.com,8,"Technology company (20+ years) doing software development, IoT and integrated automation systems, with its own GoManager operations-management product (web/mobi"
Mevoro,,https://mevoro.com/,mevoro.com,8,"Custom software company (since 2012) building web, AI/ML and IoT/Edge solutions, apps and automation (OCR document processing, smart parking, clinic software)."
Moonlysoft,,https://moonlysoft.com/,moonlysoft.com,8,"Technology partner engineering intelligent software — agentic AI (multi-agent systems in production), custom web/mobile product development and managed cloud."
Code Spring,,http://www.codespring.ro/,codespring.ro,8,"Cluj software development and outsourcing company (28+ years) covering the full application lifecycle (BA, architecture, dev, testing, DevOps, CI/CD) plus IoT/i"
ConturSoft,,https://contursoft.com/,contursoft.com,8,"Cluj custom software development company doing custom web/mobile development, eCommerce, cloud services and QA/testing as a software outsourcing partner."
We As Web,,https://www.weasweb.com/,weasweb.com,8,"Full-stack custom software development firm doing enterprise AI, software engineering and platform modernization for regulated industries with 1200+ engineers."
CANARY TECHNOLOGY INNOVATIONS S.R.L.,,https://canarytech.ro/,canarytech.ro,8,"Builds and maintains web, mobile and cloud services with an AI & HealthTech engineering focus."
TechQuarter,,https://techquarter.io/,techquarter.io,8,"Custom software development company offering dedicated teams, startup development, outsourcing, mobile, AI, DevOps, cybersecurity and cloud."
BlueSpark Technologies,,https://bluespark.ro/,bluespark.ro,8,"Romanian software development company building custom web applications, scalable microservices, e-commerce platforms, data engineering and machine learning."
Oves Enterprise,,https://ovesenterprise.com/,ovesenterprise.com,8,"Global software engineering company providing senior dedicated developer teams for software services, space & defence and cybersecurity."
Graffino,,https://graffino.com/,graffino.com,8,"Software architects building custom software, web platforms/portals/apps, AI & smart automation and financial/compliance tech integrations."
Areus Development,,https://www.areusdev.com/,areusdev.com,8,"Delivers custom software development, healthcare tech, cybersecurity, DevOps-as-a-service, cloud, QA/testing, AI & automation engineering and R&D."
Jay Software,,https://jay-software.com/,jay-software.com,8,"Software engineering partner building production AI/ML systems, full-stack web platforms and cross-platform mobile apps (React Native/Flutter) end to end."
Custom Code Factory,,https://www.customcodefactory.com/,customcodefactory.com,8,"End-to-end agile custom software developer building corporate digital solutions, SaaS products (time-tracking), CRMs, mobile apps, integrations and process auto"
7code,,https://7code.ro/,7code.ro,8,"Nearshore AI engineering agency building production AI systems (LLM agents, RAG pipelines, process automation) with system integrations and agentic cloud infra."
BitStone SRL,,https://bitstone.com/,bitstone.com,8,"Software development company (since 2006) doing custom software, AI/ML solutions, technical audits, software outsourcing, staff augmentation, DevOps and QA."
Unicore,,https://unicore.ro/en/,unicore.ro,8,"Software development & digitalization firm doing custom software, web & enterprise applications, mobile, AI/ML, RPA, big data, blockchain and cloud/DevOps."
Artificially,,https://artificially.io/,artificially.io,8,UK-founded (2020) enterprise software & AI company developing web and mobile solutions with a focus on AI-based optimizations.
CODEMELT,,https://codemelt.com/,codemelt.com,7,"Full-stack agency building apps, websites and embedded systems on a real engineering stack (Nuxt/Vue/Laravel/Docker/K8s/Next/React/Web3), with QA and audit."
Digital Artflow,,https://www.digitalartflow.com/,digitalartflow.com,7,"Builds scalable custom web applications, ecommerce and VR/AR software (3D configurators/floor planners) since 2009."
Xsure,,https://xsure.io/,xsure.io,7,Full-stack software development outsourcing firm (UK/Romania/USA) providing dedicated developers across PHP/Java/JS/Angular/Vue/React.
BrainTrust,,https://www.braintrust.ro/,braintrust.ro,7,"IT consultancy specializing in cloud infrastructure, cybersecurity, network architecture, DevOps and custom software development."
TEC,,https://wearetec.com/,wearetec.com,7,"Builds custom software solutions and live-event technology for sports organizations, federations and brands."
Team Extension SA,,https://teamextension.ro/,teamextension.ro,7,"Nearshoring/offshoring technology company providing dedicated developers across mobile, backend, frontend, AI, IoT and cybersecurity."
Adonis Software,,http://adonissoft.com/,adonissoft.com,7,"Full-service iOS/Android mobile app development agency with business analysis, QA/testing and UI/UX design."
mReady,,http://www.mready.net/en/,mready.net,7,"Unreachable at fetch time; blurb describes a mobile app development firm offering mobile strategy consultancy, design and development."
IsoSkills,,http://www.isoskills.fi/,isoskills.fi,7,"Provides professional custom software development, testing and management services from a Romanian development center (HQ Finland)."
Inteo IT Development,,https://inteo.ro/,inteo.ro,7,"Builds custom, robust software solutions with database design, integration and turnkey cloud software with multi-level access control."
Splashdev,,https://www.splashdev.at/,splashdev.at,7,"Microsoft Dynamics 365 partner providing consulting and software development plus custom D365 solutions (debt collection, insurance, risk management)."
C4studio,,https://c4studio.ro/,c4studio.ro,7,"Development company delivering bespoke software and quality web solutions since 2013 (thin homepage, judged largely on description)."
FIT Software,,https://www.fitsoftware.ro/,fitsoftware.ro,7,Builds web applications for complex business scenarios and cross-platform mobile apps (Flutter/Ionic/Xamarin).
WebitFactory,,https://webitfactory.io/,webitfactory.io,7,Offers custom software development plus blockchain and AI services across many industries with case studies.
SoftwareWatch,,https://www.softwarewatch.ro/,softwarewatch.ro,7,Provides custom nearshore software solutions spanning the whole software development lifecycle plus software consultancy.
Starbyte,,https://starbyte.ro/home,starbyte.ro,7,"Unreachable at fetch time; blurb describes a Romanian software developer building web-enabled systems for banking, insurance and risk management."
Melonbyte,,https://melonbyte.io/?src=goodfirms,melonbyte.io,7,"Boutique web dev agency building SaaS solutions, custom web development (Laravel/Vue), API integration, automation and mobile/desktop apps."
Ambo Software,,https://ambo.ro/,ambo.ro,7,Unreachable at fetch time; blurb describes an agile software development company delivering quality code and high-performance applications.
Pro Application Tech,,https://proapplicationtech.com/,proapplicationtech.com,7,"Unreachable at fetch time; blurb describes web/mobile/cloud specialists building next-gen cross-browser, cross-device applications."
Kavita Systems,,https://kavitasystems.com/,kavitasystems.com,7,"Unreachable at fetch time; blurb describes product engineering for web platforms that support real business operations, so tentatively relevant."
Burzcast,,https://burzcast.com/,burzcast.com,7,"Boutique software consultancy doing custom software, AI & automation and cloud/security with its own products (MirCRM, BurzSync) on macOS/Azure."
Qualysoft,,https://www.qualysoft.com/en,qualysoft.com,7,"IT consultancy (since 1999) offering consulting and development services, Microsoft cloud/CRM/ERP, test automation, team augmentation and dedicated teams."
Cloud Business Services,,https://cloudbusinessservices.com/,cloudbusinessservices.com,7,"Specializes in software development, cloud solutions and DevOps alongside IT/HR outsourcing, covering the full software delivery lifecycle."
ICD Web,,https://icdweb.eu/,icdweb.eu,7,"Sibiu development center (since 2009) covering 60+ technologies for custom web solutions, native/cross-platform mobile apps and e-commerce."
PhantomTech,,https://phantomtechind.com/,phantomtechind.com,7,Digital studio building full-stack web applications (React/Next/Node) and custom ERP systems for scale.
Amgres.com,,https://amgres.com/,amgres.com,7,"Flutter app development shop building scalable, tested MVPs on clean/modular architecture with Node.js/MariaDB backend APIs."
Creativ Digital Agency,,https://creativdigital.ro/,creativdigital.ro,7,"Team of software engineers/security specialists building custom software, mobile/web apps, AI/ML and pentesting with cloud/DevOps and its own products, alongsid"
Neurony Solutions,,https://www.neurony.ro/,neurony.ro,7,Award-recognized web/software/PHP development firm and AI integration partner building AI products and value-driven custom development.
STNS,,https://stns-development.com/,stns-development.com,7,Software development company creating custom solutions with a portfolio of development and UI/UX projects for business efficiency and growth.
Reshape Digital,,https://reshapedigital.io/,reshapedigital.io,7,Unreachable at fetch time; blurb describes a software development consultancy specializing in digital transformation and innovation.
Global Mediator,,https://www.global-mediator.com/,global-mediator.com,7,"Microsoft Business Central/Dynamics developer doing custom development, cloud migration, QA and AppSource apps on the Power Platform stack."
Devstark,,https://www.devstark.com/welcome/,devstark.com,7,Software and AI development firm (Clutch marketplace leader) applying industry best practices with senior talent for its clients.
Devodrome,,http://devodrome.com/,devodrome.com,7,"Unreachable at fetch time; blurb describes a full software development team (PMs, developers, designers, testers) building and delivering software."
CoreBuild,,http://www.corebuild.eu/,corebuild.eu,7,Unreachable at fetch time; blurb describes a Romanian software outsourcing company with an experienced development team serving national and international clien
Appscend,,http://appscend.com/,appscend.com,7,Unreachable at fetch time; blurb describes a technology company (since 2011) providing mobile development products and custom development services.
Mobile Touch,,http://www.mobiletouch.eu/,mobiletouch.eu,7,Software company solely focused on building native iOS/Android mobile applications (minimal site but a clear mobile-engineering focus).
Neobyte Solutions,,http://www.neobytesolutions.com/,neobytesolutions.com,7,"Web & mobile development agency (since 2001) doing custom development, startup development and its own products (custom ERP/OHS software)."
Concept24,,https://www.concept24online.com/,concept24online.com,7,"Web development company (17 years, 500+ projects) building custom business software, web portals, ecommerce and mobile apps for Europe/USA/Canada."
Dream Big Corporation,,https://dreambigcorporation.com/,dreambigcorporation.com,7,Unreachable at fetch time; blurb describes a software development company building mobile apps and custom software solutions.
Soft Lab,,https://www.soft-lab.ro/,soft-lab.ro,7,"Thin site; blurb describes a software development company focused on quality, innovation and speed to drive client business results."
Yonder,,https://tss-yonder.com/,tss-yonder.com,7,Unreachable at fetch time; blurb describes a partner that consults and develops software solutions for VMS and software companies.
Around25,,https://www.around25.com/,around25.com,7,"Full-stack development team (since 2006) taking startups from idea to MVP to growth with team extension/remote teams, though also doing product and marketing."
Softclaire,,https://www.softclaire.com/,softclaire.com,7,"Digital product agency doing full front/back-end web, cross-platform mobile, MVP and startup development with its own CRM modules, alongside WordPress/landing p"
WeCodePixels,,https://wecodepixels.com/,wecodepixels.com,7,"Full-stack developers/designers (10+ years) building web, mobile and enterprise applications (B2C/B2B, custom APIs, SaaS, CRMs)."
SoftState Technologies,,https://soft-state.com/,soft-state.com,7,"End-to-end web and mobile application developer (React/React Native) focused on the healthcare industry with well-documented, GDPR-compliant code."
NoMoreCoffeePlease,,https://www.nomorecoffeeplease.com/,nomorecoffeeplease.com,7,Thin site; blurb describes a full-service web and mobile development company building products for startup founders and product teams.
Tooktech,,https://tooktech.com/,tooktech.com,7,Team of engineers/designers/PMs building custom enterprise web and mobile applications with software consulting and POC/discovery.
InDevLab,,https://indevlab.com/,indevlab.com,7,"International IT outsourcing company (100 specialists, 15 years) delivering process automation, cybersecurity, cloud solutions and R&D projects."
BisSoft,,https://www.bissoft.ro/,bissoft.ro,7,"Full-stack software house building custom applications, workflow automation and BI/enterprise-data solutions (healthcare focus) for startups to Fortune 500 clie"
Zincoo Digital Studio,,https://zincoo.com/,zincoo.com,7,"Design-and-engineering studio building mobile applications (React Native) and scalable, secure SaaS platforms (cloud architecture, APIs, security) alongside mar"
FYB Romania,,https://fyb.ro/,fyb.ro,7,"Web software developer (since 2003) providing agile Magento and Symfony custom web-app development and eCommerce engineering, though Magento/eCommerce-centric."
Rocoders,,https://rocoders.com/,rocoders.com,7,"Software team building custom, functional web/mobile apps across industries since 2012, analyzing needs and choosing a technical approach for each project."
Euro-Testing Software Solutions,,https://www.euro-testing.com/,euro-testing.com,7,"Unreachable at fetch time; blurb describes a software company specialized in full-service software testing, penetration testing and vulnerability management."
Brainic,,https://brainic.io/,brainic.io,7,Unreachable at fetch time; blurb describes a passionate software and mobile-application development team also active in cybersecurity competitions.
Primal Skill,,https://primalskill.com/,primalskill.com,7,"Software development company (since 2007) doing full-cycle development, dedicated teams and staff augmentation with off-shore/near-shore outsourcing (front/back"
SoftXPro,,https://softx.pro/,softx.pro,6,"Builds and modernizes Drupal platforms and ERPNext systems plus AI integrations (RAG, automations, dashboards) — real engineering, though CMS/ERP-platform focus"
CodinBit,,https://www.codinbit.com/,codinbit.com,6,"Web and software development company with a define/design/develop process, though it also positions around branding and design services."
Statescu.net,,https://statescu.net/,statescu.net,6,"Freelance full-stack developer/indie hacker building AI-powered apps and SaaS end-to-end (React Native, NestJS, AI pipelines) — real engineering but solo."
FPD Consulting & Solutions,,https://www.fpd.ro/,fpd.ro,6,"Builds React/Angular/React Native/Node/Java/Python web and mobile apps and ERP/CMS products, though bundled with design consultancy, video and digital marketing"
Selectsoft,,https://selectsoft.ro/,selectsoft.ro,6,"Romanian business-management software vendor (inventory, retail, e-Factura, SAF-T) also offering custom software development, configuration and integration."
Armoury Software Solutions,,https://armoury.ro/,armoury.ro,6,"Builds web apps, mobile apps and games with QA and UI/UX, though a small/new team (also does WordPress), so tentatively relevant."
Innovations Staffing Services,,https://mstaffiservices.com/,mstaffiservices.com,6,Unreachable at fetch time; blurb describes outsourcing/outstaffing for software development and IT services with experienced professionals.
minic studio,,https://minic.ro/,minic.ro,6,"Offers custom software development, web and e-commerce and UX/UI with outsourcing, though bundled with online marketing (Facebook/Google) services."
Cramba App Studio,,https://cramba.ro/,cramba.ro,6,"One-person app studio building booking/ordering apps, mini-CRMs, automations and MVPs (500k+ users on its FastOrder/Beez products) — real dev but solo."
The Niche Society,,https://thenichesociety.ro/,thenichesociety.ro,6,"Builds web apps, AI integrations and custom automation for founders/CTOs, though positioned as a full-service digital agency also doing SEO and Google Ads."
tagDiv,,https://tagdiv.com/,tagdiv.com,6,"Software company building best-selling WordPress theme products plus SaaS solutions, web development and e-commerce — real product engineering, though theme-cen"
Prisma Solutions,,https://prismaweb.ro/en,prismaweb.ro,6,Offers custom web application and software development alongside website and e-commerce work as a small IT development firm.
AppGreat Ltd.,,https://www.appgr8.com/,appgr8.com,6,"Provides software/web/mobile engineering, QA and DevOps with staff augmentation, though also offering NOC/SOC, contact center and data-entry/BPO services."
Scriptix Technology,,https://scriptix.net/,scriptix.net,6,"Unreachable at fetch time; blurb describes a 5-year IT company specializing in software, web and consulting services."
Docodex,,https://docodex.com/,docodex.com,6,"Romanian software developer building custom web/mobile apps, SaaS products, e-commerce and white-label software, though also offering SEO and paid-ads marketing"
IOTNetPRO,,https://iotnetweb.com/,iotnetweb.com,6,"Builds custom software and end-to-end IoT solutions (LoRaWAN/LPWAN platform), though also offering web design, hosting and digital marketing."
Mediatic,,https://mediatic.ro/,mediatic.ro,6,Unreachable at fetch time; blurb describes a 12-year digital agency building custom web software and eCommerce platforms.
Enlivy,,https://enlivy.dev/,enlivy.dev,6,"Full-service development company building eLearning platforms, custom CRMs, mobile apps, APIs and AI features, though positioned as a WordPress/web agency with "
Utopian Vision SRL,,https://utopianvision.ro/,utopianvision.ro,6,"Builds custom software, cloud applications and multi-vendor web platforms (PHP/MariaDB/JS) with server configuration, alongside websites and online stores."
Digital Expression,,http://digitalexpression.ro/,digitalexpression.ro,6,"Creative agency that also builds real technology (mobile banking, push-notification servers, AR) for clients like Volksbank and Nestlé."
Fortune Soft,,http://www.fortunesoft.ro/,fortunesoft.ro,6,"Web & software development company building VOD systems, news portals, monitoring apps and mobile apps, though also offering marketing and creative services."
99 Code Lines,,http://www.99codelines.com/,99codelines.com,6,"Long-standing software & app developer building iOS/Android/web apps (.NET/React) and mini ERP/CRM products, though also offering SEO and website work."
