name,website,description,relevance_status,lead_score,qualification_reason
Webamboos,https://webamboos.com/,"At Webamboos, we are passionate about helping startups and established brands bring their innovative ideas to life. We believe that every great product starts with a clear vision and a commitment to excellence, and that’s what we bring to every project we work on. We ...",RELEVANT,8,"Custom software development partner with a 30+ engineer team building dependable, scalable digital products since 2016."
Web Activ,https://www.webactiv.ro/,"Full service web design & development company established in Bucharest / Romania in 2005. We are a one-stop-shop, creatively covering all the services a company needs for a modern and high-performance digital presence. We implement and manage online professional web platforms, we provide complete web ...",IRRELEVANT,4,"Full-service web design shop whose live site is a digital marketing agency (websites, SEO, Google/Facebook ads, content, hosting), not custom engineering."
MCRO,https://mcro.tech/,"MCRO is an innovative IT software development company specializing in web design, web applications, and native and cross-platform mobile applications for iOS and Android. Their team comprises highly specialized programmers, designers, developers, and project managers, all dedicated to delivering efficient and practical solutions. With a ...",RELEVANT,8,Custom software development firm building scalable web and mobile applications with cloud infrastructure and product strategy.
Tech Stack Apps,https://techstackapps.com/,"At Tech Stack Apps, we’re more than a software development company we’re a dedicated technology partner committed to helping businesses turn ideas into impactful digital products. Since 2018, we’ve been building custom applications for clients worldwide, offering end-to-end development services tailored to each project’s unique ...",RELEVANT,8,"Custom software (digital health) developer offering web/mobile app development, agile teams, custom AI agents and HIPAA-compliant cloud."
QTeam Software Solutions,https://qteam.solutions/,"QTeam Solutions is a custom software and AI solutions company serving clients in the USA and Europe. Since 2016, we have focused on delivering high-quality, scalable web platforms, AI-driven systems, and automation tools that help businesses grow. Every project is personal: we show up, stay ...",RELEVANT,8,"Custom software company doing web product engineering/re-engineering, IoT, mobile development, DevOps and software maintenance since 2016."
Roweb Development,https://www.roweb.ro/,"Roweb Development is a Romania-based software development company with 15+ years of experience and expertise in technologies like AngularJS, NodeJS, ReactJS, C#, .NET, PHP, Java, Laravel, Javascript, etc. They manage end-to-end product development projects, from business analysis to post-implementation testing and maintenance.",RELEVANT,8,Unreachable at fetch time; blurb describes a 15+ year Romanian software developer (Angular/Node/React/C#/.NET/PHP/Java) doing end-to-end product development.
Wolfpack Digital,https://www.wolfpack-digital.com/?utm_source=goodfirms,"Wolfpack Digital builds scalable web and mobile applications recognized globally: 2024 Webby Award (Responsible AI), European Technology Awards (App Development), and most recently, Web Excellence Awards for 3D2Cut and LoadHub. We are headquartered in Cluj-Napoca, Romania, with an office in Dublin, Ireland.We've launched 250+ digital ...",RELEVANT,8,"Award-winning web and mobile development company combining design, product strategy and engineering to build scalable applications."
Deventure,http://www.deventure.co/,"Deventure is a full-stack software development company that builds innovative products. We integrated under one roof, both web and mobile development, UI/UX and Quality Assurance services, to provide a smooth process and increase the time to market. Our team is structured in departments such that ...",RELEVANT,8,"Full-stack custom software development company building web/mobile apps, enterprise software and cloud/BI with UI/UX and QA under one roof."
ABIT Technologies,https://abittechnologies.com/,ABIT Technologies is a Romanian software development company that offers three types of services: end-to-end software development staff augmentation build-operate-transfer solutions. We believe in building long-term partnerships with our clients and becoming an extension of their teams.,RELEVANT,8,"Romanian software developer offering end-to-end custom development, staff augmentation, build-operate-transfer, cloud web/mobile apps and AI services."
inteliScience,https://inteliscience.net/,"inteliScience is a full-service software development company, specializing in custom software, AI-driven solutions, and NXOpen development. With a strong footprint in Europe and clients across multiple industries, we help businesses innovate, scale, and modernize. We deliver value through: 🔹 Tailored AI & automation solutions – ...",RELEVANT,8,Custom software and AI-driven solutions with deep Siemens NX/NXOpen and Teamcenter engineering-automation development and nearshore teams.
Moldoweb,https://moldoweb.com/,"We're a software development company with a focus on building fast, scalable, and efficient applications that enable the digital transformation of your products and processes. Your business ideas are meeting our IT know-how, resulting in a team heading towards excellence and mutual growth. Our Core ...",RELEVANT,8,"Software development and outsourcing company doing enterprise/custom application development, dedicated teams and staff augmentation (Angular/Node/.NET)."
appssemble,https://appssemble.com/,"We work side-by-side with ambitious companies, brands, and founders to make bolder choices and uncover transformative change with customer-centric and truly user-validated digital products. What we do for you: Strategic Business Consulting — Partnering to define and capitalize on transformative market opportunities faster. User-Centric Design ...",RELEVANT,8,"Production AI engineering firm building AI agents, voice AI, RAG and automation inside real mobile/web products with APIs and DevOps."
Arnia Software,http://www.arnia.com/,"Arnia Software, a global software development company, is a leading provider of software development services, IT outsourcing, and nearshore dedicated teams. We are technology experts in bespoke application development, web development, cloud solutions, and mobile app development. Arnia was established in 2006 in Bucharest, Romania, and quickly grew into one of the most successful independent ...",RELEVANT,8,"Global software development company offering bespoke application development, IT outsourcing, nearshore dedicated teams, banking software and QA."
Andrea Software,https://andreasoft.ro/,"Andrea Software is a European software and hardware development company delivering full-fledged smart device solutions or partial contributions to clients with the most demanding projects all around the globe. Tackling challenging tasks is our speciality, and we add value to any project we work on.",RELEVANT,8,European software and hardware development company delivering embedded systems and smart-metering/smart-grid solutions with prototyping and certifications.
NEXT ID SOFTWARE SRL,https://nextid.ro/,"Founded in 2017 and privately owned in Romania, Next ID Software is driven by a passion for high-quality, reliable software solutions. Our team comprises seasoned senior engineers with over 20 years of experience delivering enterprise-grade software, especially across utilities, transportation, courier systems, finance, banking, and government sectors. We offer end-to-end services, from technical consultancy and ...",RELEVANT,8,End-to-end software engineering firm with senior engineers (20+ years) building critical web/mobile/desktop applications with integration and cloud.
PRISMA Software,https://www.prisma-software.ch/,"PRISMA Software engineers safety-critical, compliant, and scalable software for industries where reliability is non-negotiable. We develop solutions for connected vehicles, smart energy, medtech, and secure finance, helping organizations innovate with confidence while meeting every regulatory requirement. With Swiss precision, German engineering standards, Romanian technological expertise, and Moldovan creativity, we deliver software that is trustworthy, compliant, ...",RELEVANT,8,"Engineers safety-critical, compliant software for connected vehicles, smart energy, medtech and secure finance where reliability is non-negotiable."
BruteCX,https://brutecx.com/,"BruteCX is an independent software engineering practice focused on custom systems for businesses that require precision, control, and reliable execution. The work centers on internal platforms, client portals, workflow systems, and business software for operations that have outgrown spreadsheets, disconnected tools, and generic SaaS workflows. Rather than forcing the business to adapt to rigid software, ...",RELEVANT,8,"Independent software engineering practice building custom web applications, business systems, SaaS products and the APIs/integrations behind them."
UP2DATE,https://www.up2date.ro/,"UP2DATE SOFTWARE is a Romanian software development company with a 15+ year heritage of building reliable, high-quality digital products for global businesses. Since 2009, we have delivered custom web platforms, mobile applications, enterprise systems, and full-cycle development services across multiple industries. Starting in 2021, we ...",RELEVANT,8,"15+ year Romanian software developer building custom software, mobile apps, web platforms and AI-integrated solutions with senior nearshore engineers (ISO 27001)."
Thinslices,http://www.thinslices.com/,"Thinslices is a knowledgeable team specialized in turning innovative ideas into digital products through a predictive methodology. Working with knowledge-powered small steps helps us organise our projects, as well as our services. The phases of a digital product correspond with the four services that we ...",RELEVANT,8,"Product development company doing idea-to-MVP, web/mobile and AI development plus team-as-a-service, product design and R&D."
Floating Dots,https://floatingdots.co/,"Floating Dots is a product software development company founded in 2017, around a team of creative and enthusiastic people. Since then, we had successfully set up custom software services for companies with technological needs as well as start-ups. Our services are scalable so we can ...",RELEVANT,8,"Product software development company building web/mobile apps, MVPs and providing team augmentation with UI/UX across edtech, fintech and healthcare (40+ apps)."
POWERTRACE SRL,http://www.powertrace.ro/,"POWERTRACE is a company founded in 2007, specializing in embedded software development and, more recently, in embedded security and cryptography solutions based on in-house HSM (Hardware Security Module) technologies. These solutions can be adapted and extended to meet specific customer requirements.Developing and implementing concepts such as secure boot or secure onboard/offboard communication for your products ...",RELEVANT,8,"Embedded software developer specializing in embedded security/cryptography, HSM, AUTOSAR and ISO 26262 safety-critical automotive systems."
Technical Inside,https://technicalinside.com/,"Technical Inside is a software studio in Iași, Romania. We design and build AI-powered products, web and mobile apps, SaaS platforms and automation — from first commit to production, with a portfolio of shipped work behind us.",RELEVANT,8,"Software studio building AI-powered products, full-stack web/SaaS, cross-platform mobile and automation from first commit to production."
Momentum Software,https://www.momentum-software.ro/,"Momentum Software is a software development and IT consulting company. We value honesty, respect, openness, cooperation and transparency. We are solution centric, highly motivated, we know how to listen our customers and we always deliver what we promise. We love what we do. We deliver unbeatable performance and quality in the software we create. The ...",RELEVANT,8,"Custom Java EE software development and IT consulting company doing scalable architecture, performance tuning and BPM."
DevsReady,https://devsready.io/,"Founded in 2022, our company is a custom software development firm built by engineers, for complex real-world challenges. The company was established by Neculai Emanuel, a senior software engineer, team lead, and software architect, and it evolved organically from a hands-on mentorship program that trained and shaped most of our current team. Today, we are ...",RELEVANT,8,Custom software development firm built by senior engineers for complex real-world challenges (Romania & Europe).
MeshSoftware,https://meshsoftware.eu/,"MeshSoftware is a software company focused on state of the art technologies to bring to our clients. We develop from IoT projects up to highly available and scalable cloud applications.Our expertise consists of : Docker,K8S,Azure,AWS,GCP,Terraform,Ansible,GoLang,Java,C#,Angular,Linux etc MeshSoftware has experience in developing software for various domains like: railway,warehousing,automotives,fintech etc",RELEVANT,8,"Software company building IoT and scalable cloud applications (logistics, intermodal, railway) on Docker/K8s/Azure/AWS/GCP/Terraform/Go/Java/C#."
Ontegra,https://ontegra.com/,"Ontegra started in 2015 in Cluj-Napoca, Romania, and it's highly dedicated to delivering high-end software solutions from start to finish. Our strategists, developers, testers, business analysts, and designers develop complex digital solutions used by industry-leading global companies. As a proven offshore and onshore software development partner, we increase efficiency and productivity and reduce our clients' ...",RELEVANT,8,"Delivers high-end custom software, platform modernization/migration, AI & automation and MVP development plus IT outsourcing/staff augmentation for enterprises."
Scriptstackers,https://scriptstackers.com/,"At ScriptStackers, we are a team of passionate and skilled developers with over 15 years of experience in web & mobile development. From startups to enterprises, we’ve helped businesses build scalable, high-performance digital solutions that drive success. Why Choose Us? ✅ A team of experts in modern web & mobile technologies ✅ Custom solutions tailored ...",RELEVANT,8,Full-stack web and mobile development team (15+ years) working across Laravel/Next/React/Vue/Node/Python and AI/ML with business analysis.
Nevexo,https://www.nevexo.tech/,"Nevexo is a software engineering studio that operates as an embedded technical partner. We work across AI/ML, web platforms, mobile, and cloud infrastructure for startups and mid-size companies across Europe and US. We cover the full development cycle with one team: from architecture design through deployment and ongoing support. We're ready to challenge assumptions and ...",RELEVANT,8,"Software engineering studio acting as an embedded technical partner across AI/ML, web platforms, mobile (React Native/Flutter) and cloud infrastructure."
SC AEGIS CORE TECH SRL,https://aegiscoretech.com/,"Aegis Core Tech is an independent Romanian engineering company founded by an experienced team with extensive backgrounds in automotive, industrial electronics, embedded systems, software development and cybersecurity. We help companies accelerate product development by providing highly skilled engineers capable of supporting complete project lifecycles, from requirements and architecture to implementation, testing, validation and maintenance.",RELEVANT,8,"Engineering firm doing custom software, team augmentation, cybersecurity (secure SDLC, SAST/DAST), AI/LLM integration and automotive (AUTOSAR) engineering."
Benoli Tech,https://www.benolitech.com/,"Benoli Tech is a provider of innovative software, high-quality embedded software and systems engineering services. We are specialized in industries such as automotive, railway, and embedded solutions, focusing on high-performance and robust engineering. With over 10 years of engineering experience, our team combines deep technical expertise with practical experience, ensuring we deliver solutions that meet ...",RELEVANT,8,"Provides embedded software and systems-engineering services (50+ engineers) for automotive, railway, robotics, semiconductors and industrial IIoT, plus AI."
Xstart Modular Software,https://www.xstart-ms.com/,"We provide complete or flexible digital solutions tailored to your business needs: modern website development, advanced SEO optimization for higher search engine visibility, reliable hosting and domain registration, professional email server setup, custom mobile applications integrated with your website, and results-driven digital marketing strategies. Founded ...",IRRELEVANT,4,"Offering is led by website development, SEO optimization, hosting and email-server setup with digital marketing; software is generic and secondary."
Infobest Romania,https://infobest.ro/,"Infobest has been delivering end-to-end Software Development Services, QA & Testing and Support solutions to small, medium and large businesses all across Europe. Our outstanding track record of successfully delivered projects for different industries has given us a profound understanding of many business processes and environments. We combine our experience with proven standards and methodologies, ...",RELEVANT,8,"End-to-end software development, QA & testing and support firm (.NET/Java/PHP/COBOL) with AI/ML, cloud, big data and IoT solutions across Europe."
Luminos Software,https://luminos.software/,"From first-time founders to seasoned tech teams, we help visionaries of all kinds grow their digital products and services. Whether it’s getting started with a new concept, building a minimum viable product or scaling up with an offshore development team – whatever your next level looks like, we’re here to help you get there. We ...",RELEVANT,8,"Software services firm offering technology strategy, digital product design, software development, team extensions and DevOps for entrepreneurs."
Appsmart,https://appsmart.ro/,We are a software development company with a successful track record of delivered projects. We believe in partnerships and long-term collaborations and our partners have been with us since day one. We pride ourselves with a well-versed team of senior developers that can tackle any technological challenge.,RELEVANT,8,"Software development company with senior developers covering the full lifecycle (business analysis, UI/UX, development, testing, deployment, support)."
VB Digital Architects,https://vbdigitalarchitects.com/,"VB Digital Architects is a software architecture and development consultancy providing enterprise-grade solutions for businesses of all sizes. Founded by Valeriu Buzilă, a senior engineer with over 20 years of experience in Fortune 500 environments, we specialize in cloud architecture, DevOps implementation, and digital transformation. Our core services include enterprise solution architecture, cloud migration, system ...",RELEVANT,8,"Software architecture and development consultancy delivering enterprise-grade solutions, founded by a senior engineer/architect."
Freshbyte,https://freshbyteinc.com/,"We are a team of experienced professionals who are passionate about building scalable, secure and customer-centric products and services. As a trusted technical partner, Freshbyte helps small and large companies build better software products, in various industries. Our complete range of IT services cover all the needs of our clients: Dedicated Teams, Custom Web and ...",RELEVANT,8,"Technology partner providing dedicated development teams, custom software, web/mobile, IT staff augmentation, QA and cloud/DevOps from Romania."
QuartzDevs,https://www.quartzdevs.com/,Dedicated Engineering Teams ThatShip Faster & Scale Your Business Get dedicated engineering teams of senior software developers who integrate seamlessly with your workflows. No hiring headaches. No onboarding delays. Start in 1-2 weeks Senior engineers only (8+ years) Full-stack development capabilities Work in your timezone,RELEVANT,8,"Provides dedicated senior engineering teams building multi-tenant cloud-native SaaS, full-stack web/mobile and production AI (LLM integrations)."
Tecknoworks,https://tecknoworks.com/,"We empower businesses by delivering innovative cloud solutions, positioning clients at the forefront of their industries, and ensuring a competitive edge, whether we refer to data services, software and app development, or AI and automation. What is it that we do? Data Analytics & BI - Wherever you are in your data journey, our services ...",RELEVANT,8,"Builds production AI systems, BI & data analytics, automation and next-gen software/apps with cloud and legacy modernization on Azure."
Webchain SRL,https://www.webchain.ro/,"We make software development process seem easier than you might think!Our mission is to help our clients develop end-to-end solutions, achieve digital transformation or innovate in their markets, among many others. All of our efforts and services are geared towards growing our client’s business. We are going hand in hand and step by step with ...",RELEVANT,8,"Software development company doing custom and AI software, IT consulting and DevOps across Node/Python/Java/Angular/React for automotive, fintech and pharma."
FEEL IT SERVICES,https://www.feel-it-services.com/en/#main,"Feel IT Services provides a comprehensive range of IT solutions, including nearshore/inshore software development, product innovation, managed services, and maintenance support, catering to clients across Europe and the United States. Our team has extensive experience with a variety of technologies, enabling us to offer top-notch outsourcing services that are designed to propel your business forward. ...",RELEVANT,8,"Nearshore software development firm (12 years) with strong R&D doing AI automation, big data, managed IT and cybersecurity/pentesting."
BlueLight,https://www.bluelightsoftware.co/,"At Bluelight we build our own software products and provide enterprise software development services and software consultancy, with a team of senior software developers and solutions architects, filling the gap of high-level expertise for enterprises looking for digital transformation. BLUELIGHT is helping businesses and institutions, IT or non-IT organizations increase their efficiency in the digital ...",RELEVANT,8,"Builds its own software products and provides enterprise software engineering, cloud engineering and BI/AI-driven automation with senior developers."
Zeren Software,https://www.zerensoftware.com/,"Welcome to Zeren, a dynamic company specialized in providing IT and consultancy services. With over 16 years of experience, our dedicated team takes great pleasure in discovering innovative solutions to address your business challenges and objectives, as we firmly believe that technology should be tailored to your company's unique requirements. Our top priorities are to ...",RELEVANT,8,"IT/consultancy (16+ years) delivering bespoke software, cloud, data engineering, AI/ML, cybersecurity and SAP via staff augmentation, BOT and agile delivery."
DoubleBit,https://doublebit.net/,Our Web Development and Web Design agency offers full services for clients of any size.,IRRELEVANT,4,"A web development and web design agency, and the live site is under maintenance; no custom-engineering evidence."
ZANEFFI SRL,https://zaneffi.com/,"We simplify complex AI and data to deliver tangible business results within months, not years. We help companies with unique needs leap three steps ahead in their journey while others are still figuring out their first move.",RELEVANT,8,"Builds sovereign AI and data solutions (knowledge management, AI agents, intelligent automation) with real enterprise deployments (Stellantis, industrial)."
Codemart,https://codemart.ro/,"When Codemart was founded in 2004, nobody had Cluj on the radar for software development. Near-shoring was largely unheard of. But a few highly experienced Romanian mavens partnered with German incubators to change that. 20 years later, Codemart has become a major force in software development for Fortune 500 companies, delivering almost 2.5 million lines ...",RELEVANT,8,"Cluj near-shoring pioneer (since 2004) building deep custom software, including the critically-acclaimed Virtual Brain / BrainXplore neuroscience platforms."
Anfa Engineering,https://anfaengineering.com/,"Anfa Engineering is a technology-driven engineering company specializing in the design, development, and integration of advanced electronic hardware and embedded software solutions. The company provides end-to-end engineering services, supporting clients from concept development through to prototyping, testing, and deployment. With a strong focus on innovation and precision, Anfa Engineering delivers solutions in areas such as ...",RELEVANT,8,"Engineering company (15+ years) doing electronics design, embedded software development, prototyping/testing and design recovery."
Zynk Software,http://www.zynksoftware.com/,"Mobile apps. Web Platforms. Big Data. ZYNK is an end-to-end provider of software development services and solutions, with over 13 years of experience in building software products. Founded in 2010, ZYNK delivered more than 100 projects, including mobile consumer apps, financial, messaging, e-commerce, multiplayer game, IoT, AR and enterprise platforms. Its mission is to help ...",RELEVANT,8,"Unreachable at fetch time; blurb describes a 13-year end-to-end software development provider building mobile apps, web platforms and big-data software products."
CustomSoft,https://www.customsoft.io/,"CustomSoft is a technology company specialized in strategy, engineering, interaction design and digital commerce. CustomSoft works with market leaders and challengers pursuing growth by applying novel and adaptive thinking to the most ambitious business scenarios. Innovation stays at the core of our processes as we combine cutting edge technologies with a transdisciplinary know-how to discover ...",RELEVANT,8,"Technology company doing engineering, web/mobile and e-commerce development, software analysis/consulting, automated testing and AI (mAIa) for market leaders."
20Robots Technologies,https://20robots.tech/,"We are an Al integration agency specializing in advising and assisting clients in the building of the future. With our expertise in software development and organizational consulting, we help clients achieve their business objectives by providing IT solutions and services. As an Al integration agency, we bring cutting-edge technologies and strategies to enhance business processes ...",RELEVANT,8,"AI-integration and custom software development firm doing intelligent document processing, chatbots, custom CRM and automation for private and government sectors."
Krypton Labs,https://www.kryptonlabs.io/,"Krypton Labs is a leading AI and Blockchain development company. Our great team is composed of technologists, strategists, and developers who share a passion for pushing the boundaries of what's possible in the realm of AI and blockchain. Our primary goal at Krypton Labs is to provide extraordinary services that exceed client expectations. We believe ...",RELEVANT,8,"AI and blockchain/Web3 development company building smart contracts, DeFi, wallets and NFTs plus enterprise/custom software, web development and DevOps."
Kheprix,https://www.kheprix.com/,"At Kheprix, we specialize in delivering custom software development services that empower businesses to thrive in a competitive digital landscape. Established in 2006 and headquartered in Romania, we combine technical expertise with a client-centric approach to create innovative, high-quality solutions. Our team excels in a wide range of services, including: Desktop Software Development (C#, .NET, ...",RELEVANT,8,Custom software development firm (since 2006) doing full-stack desktop and web application development (C#/.NET/Python/C++/Delphi) with Docker/SSIS/SSAS.
Ascendro,http://ascendro.de/,"As a technology-driven company, we are fueled by passion for innovation. Whether you're looking to kickstart a software product from scratch or expand an existing team, we are equipped to deliver reliable and scalable software solutions that support your digitization journey. You can count on us throughout the entire software development lifecycle: concept, design, development, ...",RELEVANT,8,"Nearshore software development company doing custom web software, team augmentation, cloud and DevOps (React/Angular/Node/Java) for automotive, healthcare and fintech."
AlgoTech Solutions,https://www.algotech.solutions/,"We are an up and coming IT company whose purpose is to help materialise great ideas. We collaborate with start-ups worldwide, in our quest to both support the next killer app, and to sp",RELEVANT,8,"React and Node.js specialist software house designing, building and maintaining web/mobile applications and SaaS products."
Nearshore Romania,https://nearshore-romania.com/,"Proven Software Development since 1994 Nearshore-Romania is a product of ROPARDO, providing software development outsourcing services with expertise in multiple industries. We play with cutting-edge technologies to build innovative products and support business transformations. Development processes are project-oriented, meaning we keep a close interaction with our customers and key communication between people involved in the ...",RELEVANT,8,"ROPARDO's software development outsourcing brand (since 1994) doing product development, dedicated teams, MVP, QA, mobile and enterprise portals (Java/.NET) with DevOps."
Computaris,https://www.computaris.com/,"We provide custom software development, system integration and technical consultancy services. Our elite software competence center comprises highly skilled teams located at our technical hubs in Eastern Europe (Romania – Bucharest, Galati; Poland - Warsaw, Bialystok; Moldova - Chisinau), the US, Asia (Malaysia, Philippines) and India. Computaris was established in 1992 in the UK and ...",RELEVANT,8,"Custom software development, system integration and technical consultancy with an elite competence center across telecom, banking and healthcare (conversational AI, cloud, DevOps)."
ArtSoft Consult,https://www.artsoft-consult.ro/,"ArtSoft Consult is a dynamic Romanian IT solution provider company focused on custom software development and business process outsourcing services with excellent references on the international market. Founded in 2003 by a core team of IT specialists, the company has its headquarters in Cluj-Napoca.",RELEVANT,8,"20+ year Romanian IT company doing custom software development (Java/C++/.NET/PHP), mobile apps, testing and AI-driven solutions (also BPO)."
Xentient Labs,https://xentient.io/,"At Xentient Labs, we design and build high-performance, scalable and secure software solutions for tech-driven companies.. We provide software engineering services in the section of web, desktop and mobile development, industrial automation systems and data science. We are leveraging the latest advancements in software frameworks and tools, Artificial Intelligence and Machine Learning for building high ...",RELEVANT,8,"Industrial software engineering firm bridging OT/IT with automation platforms, OPC UA & FDI integration and custom device-communication stacks."
