band,score,confidence,name,city,domain,website,headcount,founder_or_ceo,title,linkedin,founder_confidence,pre2024_status,tier_gold_pts,tier_a_pts,tier_b_pts,tier_c_pts,caps_applied,own_vcs_org,merged_prs,human_authors,first_merge,pages_reached,why,evidence,founder_evidence
Secondary,60,Inferred,ThiriSoft Consultancy Services,Ahmedabad,thirisoft.com,https://thirisoft.com,,,,,,Verified: 2022 capture advertises full-stack software development,25,0,25,10,cap-40 lifted: careers+blog+team recovered; no generalist-agency or BPO cap,thirisoft,,,,/,"Verified pre-2024 software site plus substantive DevOps/QA tooling and a real platform-engineering practice, but no public VCS or process-focused blog to verify PR workflow.","2022 Wayback: 'Full Stack Software Development Company' | DevOps: AWS, Azure, Kubernetes, Terraform, CI/CD automation | QA: Selenium, Playwright, automated tests before production | 'DevSecOps & Platform Engineering' as named delivery stage",
Secondary,58,Inferred,YASH Technologies Pvt Ltd,Hyderabad,yash.com,https://www.yash.com/,,,,,low,2020 snapshot already advertises IT services and solutions portfolio,25,0,15,18,,,,,,"/, careers, blog, about, team, tech-stack","Large established enterprise IT firm with a substantive pipeline/data-engineering capability but no verifiable repo or PR evidence, so Secondary.","Data engineering: pipelines engineered for performance and observability | Homepage: partner of choice for 100 Fortune 500 corporations | Named solution YASH Health Connect; tech-stack page reached | No VCS org, no engineering JD, no code-review mention",About/company copy scraped; leadership names not present in text
Secondary,55,Inferred,Botminds AI Technologies Private Limited,Chennai,botminds.ai,https://www.botminds.ai/,,Gokul Ganapathi,CEO & Co-Founder,https://www.linkedin.com/in/gokulbotminds,high,"Verified - own blog post dated Dec 9, 2022",25,0,10,20,,,,,,"/, careers, blog, about, tech-stack","Genuine product company with pre-2024 shipping history and audited controls, but no public repo or PR-workflow evidence keeps it Secondary.","Blog dated Dec 9, 2022: 'Botminds achieves ISO27001:2013 Certification' | Security posts: SOC 2 Type II plus ISO 27001 alignment | About: 'Product engineering and delivery run from Chennai' | Docs: XFlows deterministic DAG pipelines, four-pillar 'How we work'","""Gokul Ganapathi CEO & Co-Founder"" with adjacent LinkedIn link"
Secondary,53,Verified,NVIDIA Graphics Pvt Ltd,Bengaluru,nvidia.in,https://www.nvidia.com/en-in/,,,,,,Verified: 2023 Wayback advertises AI supercomputer cloud service,25,10,0,18,,,,,,"/, careers, blog, about, tech-stack","Published SDKs and a real long-lived product portfolio verify engineering substance, but no PR-workflow evidence surfaced on the India site.","Homepage names published SDKs: NVIDIA HPC SDK, PhysicsNeMo, JetPack 7.2 | Homepage announcement references NVIDIA's open stack | Product lines span consumer graphics, self-driving cars, AI | Careers page reached but no code-review or CI/CD JD text",
Secondary,53,Inferred,Vrentin Tech Private Limited,New Delhi,muoro.io,https://muoro.io/,,,,,,Verified: 2023 capture sells remote software engineering teams,25,0,15,13,cap-40 lifted: blog+team recovered,,,,,/,"Substantive data-platform engineering with named tooling and reusable accelerators for regulated finance clients, now uncapped after team and blog pages were recovered.","2023 Wayback: 'Build Remote Software Engineering Teams' | Governed Databricks lakehouse, Unity Catalog policy enforcement | Internal platform-agnostic accelerators reused across engagements | Clients: Goldman Sachs, Blackstone, Citi, regulated finance",
Secondary,50,Inferred,Uniqus India Private Limited,Bengaluru,uniqus.com,https://uniqus.com/,,Jamil Khatri,Co-Founder & CEO,https://www.linkedin.com/in/jamil-khatri-69a024235,high,"Pre-2023 snapshot, but text was unedited theme placeholder",25,0,15,10,,,,,,"/, careers, blog, about, team, tech-stack","A genuine advisory firm with a real secure-SDLC and regulated-client story but no verifiable code artefacts, so worth a look rather than priority.","Services page: CI/CD pipeline security, infrastructure-as-code controls | Case study: SOX controls for NASDAQ-listed travel company | Tech-stack page reached; privacy/consent automation platform described | No VCS org, no OSS, no engineering-practice blog posts","""Jamil Khatri Co-Founder & CEO""; also ""Jamil Khatri and Sandip Khetan, our co-founders"""
Secondary,50,Inferred,Promact Infotech Private Limited,Vadodara,promactinfo.com,https://promactinfo.com/,,,,,low,Verified: 2020 capture sells web development and product engineering,25,0,15,10,cap-40 lifted: blog+careers+team recovered,,,,,"/, tech-stack","Pre-2024 product-engineering positioning is verified and the recovered careers, blog and team pages lift the cap that was pinning this at 40, leaving real cloud/pipeline substance underneath.","2020 Wayback: 'Web Development & Product Engineering Company' | Deploys microservices and Kubernetes for cloud environments | Builds data pipelines, warehouses, analytics platforms | Tech-stack page reached; product engineering named capability",Repeated case-study/services copy; only client 'Vanto Group' named
Skip,48,Inferred,GIEOM Business Solutions Private Limited,Bengaluru,gieom.com,https://www.gieom.com/,16,,,,low,Verified: 2020 snapshot already shows Validator/Consultant Edition products,25,0,10,13,,,,,,"/, careers, about, team, tech-stack","Strongest firm in the batch with real long-lived RegTech platforms, but misses Secondary by two points for lack of any repo or process evidence.","2020 Wayback: product suite, case studies, whitepapers live | Owns DORA 360, MagpieAI, Consultant Edition platforms | About: ISO 27001 and ISO 9001 certified, 100+ customers | BFSI/regulated customers; no repo, blog or CI/CD evidence","'Founded in 2012, Gieom is a leading provider' - no founder named"
Skip,48,Inferred,Heera Software Private Limited,Pune,heerasoftware.com,https://heerasoftware.com/,,,,,low,Verified: 2022 snapshot showed shipped DMS/SFA products,25,0,10,13,,,,,,"/, careers, blog, about, team","Genuine pre-2024 product firm with real change-control certifications, but zero workflow evidence leaves it two points short of Secondary.","2022 snapshot: DMS/SFA products used by 10+ multinationals | Site: ISO 27001, SOC 1 and SOC 2 Type 2 certified | Careers and blog reached but no PR/CI/code-review language | No own VCS org or npm packages found",Product page for TradePulse DMS only; no person named
Skip,48,Verified,Lattice Semiconductor (India) Private Limited,Pune,latticesemi.com,https://www.latticesemi.com/,,,,,low,Verified: 2023 snapshot listed products and software,25,10,0,13,,,,,,"/, careers, blog, about, team","Verified pre-2024 product line plus real technical talks, but it is a hardware/FPGA vendor with no PR-workflow evidence; two points short of Secondary.","2023 snapshot lists Products: Programmable Logic, Software (wayback) | Blog: Lattice experts' DO-254 avionics compliance webinar | Owns FPGA products and Solution Stacks (owns_product) | No VCS org; blog posts not about code review or CI","Only surname ""Ford"" appears for the top role; no full name"
Skip,45,Inferred,TechRAQ Info Solutions Private Limited,Hyderabad,techraq.com,https://www.techraq.com/,,,,,,verified: 2023 capture advertises web and mobile application development,25,0,10,10,,,,,,/,"Pre-2024 delivery is proven and a real quality-engineering practice is claimed, but no careers JD, tooling or repo exists to lift it into Secondary.","2023 snapshot: 'Application development & implementation for Web & Mobile' | Software Quality Engineering: testing throughout the development lifecycle | 'Agile Dev & Dev-Ops' named, but no tools or pipelines | 'Our Products' section names no actual product",
Skip,45,Verified,Testrig Technologies Private Limited,Pune,testrigtechnologies.com,https://www.testrigtechnologies.com,,,,,low,Unknown - CDX lookup failed and no dated pre-2024 artefact in excerpts,0,20,50,13,"Tier GOLD cap 45 - no pre-2024 artefact, Wayback lookup failed",,,,,"/, blog, about, team, tech-stack",Genuinely strong QA/CI engineering story held at 45 solely by the unevidenced pre-2024 gate; recheck Wayback before excluding.,"Blog: Playwright + GitHub Copilot AI test-automation guide | Site: 'Jenkins and Bitbucket ... every code commit, pull request' | Site: 'embed QA into DevOps ... shift-left testing' | Wayback lookup failed; newest dated blog is 2026",Only client testimonials; 'Parimal' has no surname or title
Skip,45,Inferred,TQuanta Technologies Private Limited,Hyderabad,tquanta.com,https://www.tquanta.com/,,Yogesh Babu Rama,CEO & Director,,medium,Weak - pre-2024 snapshot exists but did not mention building software,10,0,25,13,Tier GOLD cap 45 - pre-2024 snapshot showed no software work,,,,,"/, careers, blog, about, team, tech-stack","Real CI/CD hiring language, but the unevidenced pre-2024 gate holds it just below Secondary.","JD: 'containerization, CI/CD pipelines, and cloud platforms' | Wayback 2023 page did not mention building software | Careers: Guidewire developers hired for insurance GCC clients | Compliance offered as client service, no own certification","Leadership page: ""Yogesh Babu Rama CEO & Director With over 25 years"""
Skip,40,Inferred,Actualize Consulting Engineers (India) Private Limited,Bengaluru,actualize.co.in,https://actualize.co.in/,73,Harish Kashyap,Founder,https://www.linkedin.com/in/harishkashyapactualize,medium,"Verified - 2023 snapshot claims 10,000 projects delivered",25,0,15,0,,,,,,"/, about, team","A real named IaC/GitOps toolchain and pre-2024 delivery history, but no repo, JD or review evidence to lift it past Skip.","Wayback 2023: '10000 Projects Delivered, 9 Countries, 80 Customers' | Site names Kubernetes, GitOps, Backstage, Terraform, ArgoCD | pages_absent: careers and blog; only home, about, team reached | own_vcs_orgs empty; no npm packages found","""Team Harish Founder""; profile slug harishkashyapactualize"
Skip,40,Inferred,Minutus Computing Private Limited,Pune,minutuscomputing.com,https://minutuscomputing.com,60,,,,low,Verified: 2023 Wayback lists DevOps and app development lines,25,0,15,0,,,,,,"/, careers, blog, about","DevOps and PLM engineering are named service lines pre-2024, but the live site surfaced no process detail to lift it past 50.","Wayback 2023: 'DevOps Tools & Automation', 'Infrastructure Engineering' | Wayback 2023 also lists Application Development & Modernization, PLM | Careers and blog pages reached but yielded zero signal excerpts | No own VCS org, no npm packages on domain",Purpose/motto/values page only; no person named
Skip,38,Inferred,Artha Data Solutions India Private Limited,Hyderabad,thinkartha.com,https://www.thinkartha.com,20,,,,low,"REPAIRED 20230106 capture readable, no software language (weak +10)",10,0,10,18,,,,,,"/, careers, blog, about, team, tech-stack","A genuine data-product firm with owned accelerators and named compliance regimes, but only weak pre-2024 evidence and no VCS or deployment-pipeline artefacts.","Owns named accelerators: B'etl migrator, Data Insights Platform | GDPR, CCPA and HIPAA named as enforced standards | BFSI, healthcare and telecom enterprise clients, industry events | Pipelines cited are data/ETL, not CI/CD tooling",About-us text names no individuals
Skip,33,Inferred,Orbitsys Technologies Private Limited,Gurugram,orbitsys.in,https://orbitsys.in/,,,,,,"site live since 2009, 2023 capture had no software wording - weak +10",10,0,10,13,,,,,,/,"A long-lived owned DMS product plus ISO 27001 gives a modest base, but the recovered careers and blog pages added no engineering-process evidence.","ISO 27001:2022 certified company, stated repeatedly | Owns Cloud Hosted Dealer Management System, multi-country | Careers, blog and team pages recovered but content-free | No JD process detail, no repo, no CI/CD tooling",
Skip,33,Inferred,Relatient India Private Limited,Pune,relatient.com,https://www.relatient.com,,Jeff Gartland,Chief Executive Officer,https://www.linkedin.com/in/jgartland,high,Weak - pre-2024 snapshot exists but did not mention building software,10,0,10,13,Tier GOLD cap 45 - no verified pre-2024 software evidence (not binding),,,,,"/, careers, blog, about","Product-owning healthcare SaaS with real compliance, but zero code-review, CI/CD or repository evidence.","Wayback 2023 snapshot: page did not mention building software | Site: HIPAA, SOC 2 and HITRUST compliance named | Homepage: owns Dash patient scheduling platform | No VCS org, no OSS, blog has no engineering posts","About page card: ""Jeff Gartland Chief Executive Officer Connect with me"""
Skip,30,Inferred,aQb Solutions Private Limited,Kolkata,aqbsolutions.com,https://www.aqbsolutions.com/,102,,,,low,"REPAIRED: verified, 20230120 capture advertises web/mobile app development",25,0,10,10,generalist-agency (digital marketing bundled) cap 30,,,,,"/, careers, blog, about, team, tech-stack","GOLD is now verified and ISO 27001 is real, but digital marketing bundled with development triggers the generalist-agency cap at 30.","20230120 capture: Web and Mobile Application Development advertised | ISO 27001:2013 certified, stated twice | Digital Marketing sold alongside development services | Case studies still carry Lorem Ipsum placeholder text",Only a services page was scraped; no people named
Skip,30,Inferred,IEMA Research & Development Private Limited,Kolkata,iemlabs.com,https://iemlabs.com/,,,,,low,"REPAIRED: verified, 20230102 capture shows Web/Application and Software Development",25,0,10,0,training bundled with services cap 30,,,,,"/, blog, about","Verified pre-2024 software work plus strong certifications, but training courses bundled alongside services cap it at 30.","20230102 capture: Web/Application and Software Development | ISO 27001, ISO 9001, CERT-In empanelled, CMMI L3 | Source code review is a security audit service, not PR practice | Bootcamps, diplomas and courses bundled with services",Mission/services copy for IIEMLabs only; no person named
Skip,30,Inferred,Inzuscene Technologies Private Limited,Kolkata,inzuscene.com,https://www.inzuscene.com/,,,,,low,"2023 capture readable, no software wording - weak +10, cap-45 lifted",10,0,10,10,,,,,,"/, blog, about","Certifications plus enterprise-software positioning corroborate a light Tier C, but there is no careers JD, repo or any engineering-process evidence.","ISO 9001, 27001 and 20000 certified | Industrial AI and enterprise software for asset-intensive workflows | Partner ecosystem featuring Fortune 500 companies | Blog page live but empty: no articles found",Vision/values page only; no person named
Skip,30,Inferred,Rasacode Technologies Private Limited,Kolkata,rasacode.in,https://rasacode.in/,,,,,,verified: 2022 capture advertises web and mobile app development,25,0,10,15,generalist-agency cap 30 (binding),,,,,/,"GOLD is now proven and the raw sum reaches 50, but SEO sold alongside development on the same service menu is the generalist-agency signature and caps it at 30.","2022 snapshot already sells mobile app development | Service picker bundles SEO with development and eCommerce | QA Strategy, application and mobile testing service lines | Career path stated from Junior to Principal Engineer",
Skip,30,Inferred,SRKay Consulting Group Private Limited,Mumbai,srkay.com,https://www.srkay.com:443/,,Akshay Dholakia,Managing Director,https://www.linkedin.com/in/akshay-dholakia-a8959a327,high,Verified - 2023 snapshot of established consulting site,25,0,15,20,generalist-agency cap 30 - dev bundled with managed services and helpdesk staffing,,,,,"/, careers, blog, about, team, tech-stack",Product-engineering positioning is real but GCC staffing plus managed-services/helpdesk bundling caps it at 30.,"Careers: L1 Support Helpdesk and L2 Application Support roles | Process: 'Agile sprints with continuous integration and quality assurance' | Owns SCIKEY product; Product Engineering a named capability | Most JDs are hiring for GCC clients, not in-house","""As Managing Director, Akshay Dholakia leads SRKay's strategic direction"""
Skip,30,Inferred,Eluminous Technologies Private Limited,Nasik,eluminoustechnologies.com,https://eluminoustechnologies.com,,,,,low,"2023 snapshot: hire dedicated developers, web and mobile development",25,0,10,10,generalist-agency cap 30,,,,,"/, careers, blog, about, tech-stack","Genuine pre-2024 dev outsourcing with compliance claims, but digital marketing and virtual-assistant service bundling triggers the generalist-agency cap.","Compliance wall: ISO 27001, SOC 2, HIPAA, PCI-DSS claims | Careers page hiring digital marketing, PPC and virtual assistants | 'vcs' hit is GitHub Copilot usage, not an org | Tech-stack page reached; healthcare and finance clients named",ServiceNow service page only; no people named
Skip,30,Inferred,Krescent IT Labs Private Limited,Chandigarh(CH),kitlabs.us,https://www.kitlabs.us,,,,,low,Verified: 2023 snapshot shows services and delivered portfolio,25,0,35,0,generalist-agency cap 30,,,,,"/, careers, blog, about, team, tech-stack","Genuine Git-in-JD and ISO signals are outweighed by an explicit dev-plus-SEO/PPC/SMM agency bundle, which caps the total at 30.","JD: 'Familiarity with Git-based workflows and Agile Development Environments' | Footer: 'ISO 9001:2015 Certified Company' | Services: eCommerce package bundles design, development, SEO, SMO, marketing | JD: manager role demanding SEO, PPC, social media, email campaigns","Team page has no names, only 'our skilled, experienced professionals'"
Skip,30,Inferred,Orimark Technologies Private Limited,Bhubaneswar,orimarktechnologies.com,https://orimarktechnologies.com/,,Swarup Ranjan Mohapatra,CEO,,medium,Verified: 2023 snapshot 'Custom Software & App Development Company India',25,0,10,10,generalist-agency cap 30,,,,,"/, careers, blog, about, team","Pre-2024 software delivery is verified and testing is real, but 35 agency hits bundling SEO and digital marketing with dev cap this at 30.","Services: functional, automated, performance and UAT testing | FAQ: 'we offer comprehensive SEO services' plus digital marketing, CRM | About: agile and waterfall methodologies chosen per project | ISO 9001/27001/HIPAA claims belong to an advisor's past employers",'Meet The Team ... Swarup Ranjan Mohapatra CEO He is a dynamic business leader'
Skip,30,Inferred,Sathya Technosoft India Private Limited,Tuticorin,sathyainfo.com,https://www.sathyainfo.com,,,,,low,Verified: 2023 capture shows Java delivery and support portal,25,0,10,0,"generalist-agency cap 30 (binding, reduced from 35)",,,,,"/, careers, about","GOLD is now proven and ISO certification adds process credibility, but development is bundled with SEO, hardware and AMC/helpdesk, so the generalist-agency cap of 30 binds.","2023 Wayback capture shows Java work and AMC portal | 'Leading digital marketing agency' with SEO services | Hardware products, AMC proposals, helpdesk support lines | ISO 9001:2015 and ISO/IEC 27001:2022 certified",Digital-marketing services copy only; no individual named
Skip,30,Inferred,Shass Information & Quality Engineering Services,Guwahati,siqes.com,https://www.siqes.com/,,,,,low,Verified: 2020 snapshot 'SIQES | Software Development Company',25,0,25,0,generalist-agency cap 30,,,,,"/, careers, blog, about","Real CI and certification signals exist, but software is bundled with digital marketing and an ISP arm, which caps the total at 30.","Services: 'automated deployments and continuous integration workflows' on AWS/Azure | About: ISO 9001:2015, ISO 27001:2015 and CMMI-DEV certified | Digital marketing service line bundled with software and testing | Owns SiqesNet ISP subsidiary alongside the software business",About/mission copy only; no leadership names on scraped pages
Skip,25,Inferred,A5E Consulting Private Limited,Mumbai,a5econsulting.com,https://a5econsulting.com/,134,Saurabh Bhatt,Founder & CEO,,medium,Verified - 2023 wayback advertises Product Engineering,25,0,0,0,,,,,,"/, careers, blog, about, team, tech-stack",Pre-2024 existence is proven but product-engineering copy is decorative with zero delivery-process evidence.,"Wayback 2023: 'Product Engineering and Value Engineering' offering | Homepage repeats same product-engineering boilerplate on every page | own_vcs_orgs empty; no npm packages on domain | Careers and blog reached, no code review or CI/CD language","""Saurabh Bhatt Founder & CEO"" on A5E leadership page"
Skip,25,Inferred,Adient India Private Limited,Pune,adient.com,https://www.adient.com/,17071,,,,low,"Pre-2024 site verified, but seating products not software",25,0,0,0,,,,,,"/, careers, blog, about, team, tech-stack","Automotive seating manufacturer whose product and engineering language is mechanical, not software delivery.","Wayback 2023: 'global leader in automotive seating' product portfolio | owns_product excerpts are physical seats, not codebases | qa excerpt is 'quality engineering resources', durability and acoustics testing | own_vcs_orgs empty; no npm packages or engineering blog",Executive team names listed with no titles attached to any name
Skip,25,Inferred,AITOBI Technologies Private Limited,Hyderabad,aitobi.co,https://aitobi.co/,0,Roushan Kumar,Chief Executive Officer,,medium,Verified - 2023 snapshot lists AI/ML services and case studies,25,0,0,0,,,,,,"/, blog, about",Pre-2024 AI consultancy presence but essentially no engineering-process evidence on reachable pages.,"Wayback 2023: IVR-NLP, machine learning, deep learning, case studies | Only owns_product signal: 'Explore our Products' one-liner | pages_absent: careers, team, tech-stack | own_vcs_orgs empty; no npm packages found","""Our Founding Members Roushan Kumar Chief Executive Officer"""
Skip,25,Inferred,Amgen Technology Private Limited,Hyderabad,wwwext.amgen.com,https://wwwext.amgen.com/,64,Robert A. Bradway,"Chairman and Chief Executive Officer, Amgen Inc.",,medium,"Pre-2024 site verified, but medicines not software",25,0,0,0,,,,,,"/, careers, about, team, tech-stack","Pharmaceutical parent site where every product and pipeline signal is biological, not engineering maturity.","Wayback 2023: biologic medicines portfolio, no software mention | cicd excerpts are drug pipelines, not build pipelines | Careers page is a job-search widget with no practice detail | own_vcs_orgs empty; no npm packages found","""Bradway Chairman and Chief Executive Officer, Amgen Inc."" on leadership page"
