band,score,REJECTION REASON,name,city,domain,website,confidence,raw_before_caps,caps_applied,GOLD_pre2024_pts,pre2024_evidence,TierA_pts,TierA_what,TierB_pts,TierC_pts,pages_reached,pages_missing,repo,merged_PRs,PR_authors,repo_since,founder,founder_title,founder_linkedin,founder_confidence,scoring_evidence,why
Priority,80,,Rishabh Software Pvt Ltd,Vadodara,rishabhsoft.com,https://www.rishabhsoft.com/,Inferred,80,"Tier C capped at 20; generalist-agency cap considered, not applied (SEO is in-house marketing); BPO cap-20 considered, not applied (group interest, not core)",25,Verified: 2023 capture titled custom software development company; site since 2001,0,,35,20,"/, careers, blog, about, team, tech-stack",,,,,,Raju Shah,,https://www.linkedin.com/in/raju-shah-8560296,low,"2023 Wayback: 'Custom Software Development Company | Rishabh' | ISO 9001 and ISO 27001 compliance maintained internally | ETL pipelines, data lakes, Unity Catalog governance on AWS/Azure | Named Tech Leads and AVP Technology & Product Engineering","Twenty-five years of verified custom software delivery combined with genuine ISO certification, substantive data-platform engineering and a named senior engineering ladder."
Priority,78,,Xebia IT Architects India Private Limited,Gurugram,xebia.com,https://www.xebia.com,Verified,78,cap-40 lifted: team page recovered,25,Verified: github.com/xebia earliest merge 2011-12-07,40,own repo w/ merged PRs,0,13,"/, about","careers, blog, team, tech-stack",xebia,615,8,2011-12-07,,,,low,"github.com/xebia: 615 merged PRs, 8 human authors | Earliest merge 2011-12-07, still active August 2026 | 2022 Wayback: designs digital products and IT infrastructures | AI solutions and accelerators as owned long-lived assets","A verified company GitHub org with 615 merged PRs from multiple human authors dating to 2011 is near-proof of a reviewed PR workflow, and the team-page recovery removes the cap that was suppressing it."
Priority,70,,Veryx Technologies Private Limited,Chennai,veryxtech.com,https://www.veryxtech.com/,Inferred,70,,25,"2022 snapshot already lists software development, test automation, DevOps",0,,25,20,"/, careers, blog, about, team",tech-stack,,,,,,,,low,"Services: automated CI/CD pipelines across GCP, AWS, Azure | Infrastructure page names Kubernetes, Docker, eBPF, Kafka, Terraform | 'Quality engineered into every stage, not treated as a checkpoint' | Own products ATTEST and Cloudmon; hiring Senior QA Engineer","Owns real network-test products with named IaC tooling and a genuine shift-left QA practice, making it a contact-worthy engineering shop."
Secondary,60,,ThiriSoft Consultancy Services,Ahmedabad,thirisoft.com,https://thirisoft.com,Inferred,60,cap-40 lifted: careers+blog+team recovered; no generalist-agency or BPO cap,25,Verified: 2022 capture advertises full-stack software development,0,,25,10,/,"careers, blog, about, team, tech-stack",thirisoft,,,,,,,,"2022 Wayback: 'Full Stack Software Development Company' | DevOps: AWS, Azure, Kubernetes, Terraform, CI/CD automation | QA: Selenium, Playwright, automated tests before production | 'DevSecOps & Platform Engineering' as named delivery stage","Verified pre-2024 software site plus substantive DevOps/QA tooling and a real platform-engineering practice, but no public VCS or process-focused blog to verify PR workflow."
Secondary,58,,YASH Technologies Pvt Ltd,Hyderabad,yash.com,https://www.yash.com/,Inferred,58,,25,2020 snapshot already advertises IT services and solutions portfolio,0,,15,18,"/, careers, blog, about, team, tech-stack",,,,,,,,,low,"Data engineering: pipelines engineered for performance and observability | Homepage: partner of choice for 100 Fortune 500 corporations | Named solution YASH Health Connect; tech-stack page reached | No VCS org, no engineering JD, no code-review mention","Large established enterprise IT firm with a substantive pipeline/data-engineering capability but no verifiable repo or PR evidence, so Secondary."
Secondary,55,,Botminds AI Technologies Private Limited,Chennai,botminds.ai,https://www.botminds.ai/,Inferred,55,,25,"Verified - own blog post dated Dec 9, 2022",0,,10,20,"/, careers, blog, about, tech-stack",team,,,,,Gokul Ganapathi,CEO & Co-Founder,https://www.linkedin.com/in/gokulbotminds,high,"Blog dated Dec 9, 2022: 'Botminds achieves ISO27001:2013 Certification' | Security posts: SOC 2 Type II plus ISO 27001 alignment | About: 'Product engineering and delivery run from Chennai' | Docs: XFlows deterministic DAG pipelines, four-pillar 'How we work'","Genuine product company with pre-2024 shipping history and audited controls, but no public repo or PR-workflow evidence keeps it Secondary."
Secondary,53,,NVIDIA Graphics Pvt Ltd,Bengaluru,nvidia.in,https://www.nvidia.com/en-in/,Verified,53,,25,Verified: 2023 Wayback advertises AI supercomputer cloud service,10,engineering blog,0,18,"/, careers, blog, about, tech-stack",team,,,,,,,,,"Homepage names published SDKs: NVIDIA HPC SDK, PhysicsNeMo, JetPack 7.2 | Homepage announcement references NVIDIA's open stack | Product lines span consumer graphics, self-driving cars, AI | Careers page reached but no code-review or CI/CD JD text","Published SDKs and a real long-lived product portfolio verify engineering substance, but no PR-workflow evidence surfaced on the India site."
Secondary,53,,Vrentin Tech Private Limited,New Delhi,muoro.io,https://muoro.io/,Inferred,53,cap-40 lifted: blog+team recovered,25,Verified: 2023 capture sells remote software engineering teams,0,,15,13,/,"careers, blog, about, team, tech-stack",,,,,,,,,"2023 Wayback: 'Build Remote Software Engineering Teams' | Governed Databricks lakehouse, Unity Catalog policy enforcement | Internal platform-agnostic accelerators reused across engagements | Clients: Goldman Sachs, Blackstone, Citi, regulated finance","Substantive data-platform engineering with named tooling and reusable accelerators for regulated finance clients, now uncapped after team and blog pages were recovered."
Secondary,50,,Uniqus India Private Limited,Bengaluru,uniqus.com,https://uniqus.com/,Inferred,50,,25,"Pre-2023 snapshot, but text was unedited theme placeholder",0,,15,10,"/, careers, blog, about, team, tech-stack",,,,,,Jamil Khatri,Co-Founder & CEO,https://www.linkedin.com/in/jamil-khatri-69a024235,high,"Services page: CI/CD pipeline security, infrastructure-as-code controls | Case study: SOX controls for NASDAQ-listed travel company | Tech-stack page reached; privacy/consent automation platform described | No VCS org, no OSS, no engineering-practice blog posts","A genuine advisory firm with a real secure-SDLC and regulated-client story but no verifiable code artefacts, so worth a look rather than priority."
Secondary,50,,Promact Infotech Private Limited,Vadodara,promactinfo.com,https://promactinfo.com/,Inferred,50,cap-40 lifted: blog+careers+team recovered,25,Verified: 2020 capture sells web development and product engineering,0,,15,10,"/, tech-stack","careers, blog, about, team",,,,,,,,low,"2020 Wayback: 'Web Development & Product Engineering Company' | Deploys microservices and Kubernetes for cloud environments | Builds data pipelines, warehouses, analytics platforms | Tech-stack page reached; product engineering named capability","Pre-2024 product-engineering positioning is verified and the recovered careers, blog and team pages lift the cap that was pinning this at 40, leaving real cloud/pipeline substance underneath."
Skip,48,INSUFFICIENT SCORE (48) — below the 50 threshold,GIEOM Business Solutions Private Limited,Bengaluru,gieom.com,https://www.gieom.com/,Inferred,48,,25,Verified: 2020 snapshot already shows Validator/Consultant Edition products,0,,10,13,"/, careers, about, team, tech-stack",blog,,,,,,,,low,"2020 Wayback: product suite, case studies, whitepapers live | Owns DORA 360, MagpieAI, Consultant Edition platforms | About: ISO 27001 and ISO 9001 certified, 100+ customers | BFSI/regulated customers; no repo, blog or CI/CD evidence","Strongest firm in the batch with real long-lived RegTech platforms, but misses Secondary by two points for lack of any repo or process evidence."
Skip,48,INSUFFICIENT SCORE (48) — below the 50 threshold,Heera Software Private Limited,Pune,heerasoftware.com,https://heerasoftware.com/,Inferred,48,,25,Verified: 2022 snapshot showed shipped DMS/SFA products,0,,10,13,"/, careers, blog, about, team",tech-stack,,,,,,,,low,"2022 snapshot: DMS/SFA products used by 10+ multinationals | Site: ISO 27001, SOC 1 and SOC 2 Type 2 certified | Careers and blog reached but no PR/CI/code-review language | No own VCS org or npm packages found","Genuine pre-2024 product firm with real change-control certifications, but zero workflow evidence leaves it two points short of Secondary."
Skip,48,INSUFFICIENT SCORE (48) — below the 50 threshold,Lattice Semiconductor (India) Private Limited,Pune,latticesemi.com,https://www.latticesemi.com/,Verified,48,,25,Verified: 2023 snapshot listed products and software,10,engineering blog,0,13,"/, careers, blog, about, team",tech-stack,,,,,,,,low,"2023 snapshot lists Products: Programmable Logic, Software (wayback) | Blog: Lattice experts' DO-254 avionics compliance webinar | Owns FPGA products and Solution Stacks (owns_product) | No VCS org; blog posts not about code review or CI","Verified pre-2024 product line plus real technical talks, but it is a hardware/FPGA vendor with no PR-workflow evidence; two points short of Secondary."
Skip,45,INSUFFICIENT SCORE (45) — below the 50 threshold,TechRAQ Info Solutions Private Limited,Hyderabad,techraq.com,https://www.techraq.com/,Inferred,45,,25,verified: 2023 capture advertises web and mobile application development,0,,10,10,/,"careers, blog, about, team, tech-stack",,,,,,,,,"2023 snapshot: 'Application development & implementation for Web & Mobile' | Software Quality Engineering: testing throughout the development lifecycle | 'Agile Dev & Dev-Ops' named, but no tools or pipelines | 'Our Products' section names no actual product","Pre-2024 delivery is proven and a real quality-engineering practice is claimed, but no careers JD, tooling or repo exists to lift it into Secondary."
Skip,45,"CAPPED — raw 83 cut to 45 by: Tier GOLD cap 45 - no pre-2024 artefact, Wayback lookup failed",Testrig Technologies Private Limited,Pune,testrigtechnologies.com,https://www.testrigtechnologies.com,Verified,83,"Tier GOLD cap 45 - no pre-2024 artefact, Wayback lookup failed",0,Unknown - CDX lookup failed and no dated pre-2024 artefact in excerpts,20,engineering blog,50,13,"/, blog, about, team, tech-stack",careers,,,,,,,,low,"Blog: Playwright + GitHub Copilot AI test-automation guide | Site: 'Jenkins and Bitbucket ... every code commit, pull request' | Site: 'embed QA into DevOps ... shift-left testing' | Wayback lookup failed; newest dated blog is 2026",Genuinely strong QA/CI engineering story held at 45 solely by the unevidenced pre-2024 gate; recheck Wayback before excluding.
Skip,45,LOW SCORE (45) and capped by: Tier GOLD cap 45 - pre-2024 snapshot showed no software work,TQuanta Technologies Private Limited,Hyderabad,tquanta.com,https://www.tquanta.com/,Inferred,48,Tier GOLD cap 45 - pre-2024 snapshot showed no software work,10,Weak - pre-2024 snapshot exists but did not mention building software,0,,25,13,"/, careers, blog, about, team, tech-stack",,,,,,Yogesh Babu Rama,CEO & Director,,medium,"JD: 'containerization, CI/CD pipelines, and cloud platforms' | Wayback 2023 page did not mention building software | Careers: Guidewire developers hired for insurance GCC clients | Compliance offered as client service, no own certification","Real CI/CD hiring language, but the unevidenced pre-2024 gate holds it just below Secondary."
Skip,40,INSUFFICIENT SCORE (40) — below the 50 threshold,Actualize Consulting Engineers (India) Private Limited,Bengaluru,actualize.co.in,https://actualize.co.in/,Inferred,40,,25,"Verified - 2023 snapshot claims 10,000 projects delivered",0,,15,0,"/, about, team","careers, blog, tech-stack",,,,,Harish Kashyap,Founder,https://www.linkedin.com/in/harishkashyapactualize,medium,"Wayback 2023: '10000 Projects Delivered, 9 Countries, 80 Customers' | Site names Kubernetes, GitOps, Backstage, Terraform, ArgoCD | pages_absent: careers and blog; only home, about, team reached | own_vcs_orgs empty; no npm packages found","A real named IaC/GitOps toolchain and pre-2024 delivery history, but no repo, JD or review evidence to lift it past Skip."
Skip,40,INSUFFICIENT SCORE (40) — below the 50 threshold,Minutus Computing Private Limited,Pune,minutuscomputing.com,https://minutuscomputing.com,Inferred,40,,25,Verified: 2023 Wayback lists DevOps and app development lines,0,,15,0,"/, careers, blog, about","team, tech-stack",,,,,,,,low,"Wayback 2023: 'DevOps Tools & Automation', 'Infrastructure Engineering' | Wayback 2023 also lists Application Development & Modernization, PLM | Careers and blog pages reached but yielded zero signal excerpts | No own VCS org, no npm packages on domain","DevOps and PLM engineering are named service lines pre-2024, but the live site surfaced no process detail to lift it past 50."
Skip,38,INSUFFICIENT SCORE (38) — below the 50 threshold,Artha Data Solutions India Private Limited,Hyderabad,thinkartha.com,https://www.thinkartha.com,Inferred,38,,10,"REPAIRED 20230106 capture readable, no software language (weak +10)",0,,10,18,"/, careers, blog, about, team, tech-stack",,,,,,,,,low,"Owns named accelerators: B'etl migrator, Data Insights Platform | GDPR, CCPA and HIPAA named as enforced standards | BFSI, healthcare and telecom enterprise clients, industry events | Pipelines cited are data/ETL, not CI/CD tooling","A genuine data-product firm with owned accelerators and named compliance regimes, but only weak pre-2024 evidence and no VCS or deployment-pipeline artefacts."
Skip,33,INSUFFICIENT SCORE (33) — below the 50 threshold,Orbitsys Technologies Private Limited,Gurugram,orbitsys.in,https://orbitsys.in/,Inferred,33,,10,"site live since 2009, 2023 capture had no software wording - weak +10",0,,10,13,/,"careers, blog, about, team, tech-stack",,,,,,,,,"ISO 27001:2022 certified company, stated repeatedly | Owns Cloud Hosted Dealer Management System, multi-country | Careers, blog and team pages recovered but content-free | No JD process detail, no repo, no CI/CD tooling","A long-lived owned DMS product plus ISO 27001 gives a modest base, but the recovered careers and blog pages added no engineering-process evidence."
Skip,33,LOW SCORE (33) and capped by: Tier GOLD cap 45 - no verified pre-2024 software evidence (not binding),Relatient India Private Limited,Pune,relatient.com,https://www.relatient.com,Inferred,33,Tier GOLD cap 45 - no verified pre-2024 software evidence (not binding),10,Weak - pre-2024 snapshot exists but did not mention building software,0,,10,13,"/, careers, blog, about","team, tech-stack",,,,,Jeff Gartland,Chief Executive Officer,https://www.linkedin.com/in/jgartland,high,"Wayback 2023 snapshot: page did not mention building software | Site: HIPAA, SOC 2 and HITRUST compliance named | Homepage: owns Dash patient scheduling platform | No VCS org, no OSS, blog has no engineering posts","Product-owning healthcare SaaS with real compliance, but zero code-review, CI/CD or repository evidence."
Skip,30,LOW SCORE (30) and capped by: generalist-agency (digital marketing bundled) cap 30,aQb Solutions Private Limited,Kolkata,aqbsolutions.com,https://www.aqbsolutions.com/,Inferred,45,generalist-agency (digital marketing bundled) cap 30,25,"REPAIRED: verified, 20230120 capture advertises web/mobile app development",0,,10,10,"/, careers, blog, about, team, tech-stack",,,,,,,,,low,"20230120 capture: Web and Mobile Application Development advertised | ISO 27001:2013 certified, stated twice | Digital Marketing sold alongside development services | Case studies still carry Lorem Ipsum placeholder text","GOLD is now verified and ISO 27001 is real, but digital marketing bundled with development triggers the generalist-agency cap at 30."
Skip,30,LOW SCORE (30) and capped by: training bundled with services cap 30,IEMA Research & Development Private Limited,Kolkata,iemlabs.com,https://iemlabs.com/,Inferred,35,training bundled with services cap 30,25,"REPAIRED: verified, 20230102 capture shows Web/Application and Software Development",0,,10,0,"/, blog, about","careers, team, tech-stack",,,,,,,,low,"20230102 capture: Web/Application and Software Development | ISO 27001, ISO 9001, CERT-In empanelled, CMMI L3 | Source code review is a security audit service, not PR practice | Bootcamps, diplomas and courses bundled with services","Verified pre-2024 software work plus strong certifications, but training courses bundled alongside services cap it at 30."
Skip,30,INSUFFICIENT SCORE (30) — below the 50 threshold,Inzuscene Technologies Private Limited,Kolkata,inzuscene.com,https://www.inzuscene.com/,Inferred,30,,10,"2023 capture readable, no software wording - weak +10, cap-45 lifted",0,,10,10,"/, blog, about","careers, team, tech-stack",,,,,,,,low,"ISO 9001, 27001 and 20000 certified | Industrial AI and enterprise software for asset-intensive workflows | Partner ecosystem featuring Fortune 500 companies | Blog page live but empty: no articles found","Certifications plus enterprise-software positioning corroborate a light Tier C, but there is no careers JD, repo or any engineering-process evidence."
Skip,30,CAPPED — raw 50 cut to 30 by: generalist-agency cap 30 (binding),Rasacode Technologies Private Limited,Kolkata,rasacode.in,https://rasacode.in/,Inferred,50,generalist-agency cap 30 (binding),25,verified: 2022 capture advertises web and mobile app development,0,,10,15,/,"careers, blog, about, team, tech-stack",,,,,,,,,"2022 snapshot already sells mobile app development | Service picker bundles SEO with development and eCommerce | QA Strategy, application and mobile testing service lines | Career path stated from Junior to Principal Engineer","GOLD is now proven and the raw sum reaches 50, but SEO sold alongside development on the same service menu is the generalist-agency signature and caps it at 30."
Skip,30,CAPPED — raw 60 cut to 30 by: generalist-agency cap 30 - dev bundled with managed services and helpdesk staffing,SRKay Consulting Group Private Limited,Mumbai,srkay.com,https://www.srkay.com:443/,Inferred,60,generalist-agency cap 30 - dev bundled with managed services and helpdesk staffing,25,Verified - 2023 snapshot of established consulting site,0,,15,20,"/, careers, blog, about, team, tech-stack",,,,,,Akshay Dholakia,Managing Director,https://www.linkedin.com/in/akshay-dholakia-a8959a327,high,"Careers: L1 Support Helpdesk and L2 Application Support roles | Process: 'Agile sprints with continuous integration and quality assurance' | Owns SCIKEY product; Product Engineering a named capability | Most JDs are hiring for GCC clients, not in-house",Product-engineering positioning is real but GCC staffing plus managed-services/helpdesk bundling caps it at 30.
Skip,30,LOW SCORE (30) and capped by: generalist-agency cap 30,Eluminous Technologies Private Limited,Nasik,eluminoustechnologies.com,https://eluminoustechnologies.com,Inferred,45,generalist-agency cap 30,25,"2023 snapshot: hire dedicated developers, web and mobile development",0,,10,10,"/, careers, blog, about, tech-stack",team,,,,,,,,low,"Compliance wall: ISO 27001, SOC 2, HIPAA, PCI-DSS claims | Careers page hiring digital marketing, PPC and virtual assistants | 'vcs' hit is GitHub Copilot usage, not an org | Tech-stack page reached; healthcare and finance clients named","Genuine pre-2024 dev outsourcing with compliance claims, but digital marketing and virtual-assistant service bundling triggers the generalist-agency cap."
Skip,30,CAPPED — raw 60 cut to 30 by: generalist-agency cap 30,Krescent IT Labs Private Limited,Chandigarh(CH),kitlabs.us,https://www.kitlabs.us,Inferred,60,generalist-agency cap 30,25,Verified: 2023 snapshot shows services and delivered portfolio,0,,35,0,"/, careers, blog, about, team, tech-stack",,,,,,,,,low,"JD: 'Familiarity with Git-based workflows and Agile Development Environments' | Footer: 'ISO 9001:2015 Certified Company' | Services: eCommerce package bundles design, development, SEO, SMO, marketing | JD: manager role demanding SEO, PPC, social media, email campaigns","Genuine Git-in-JD and ISO signals are outweighed by an explicit dev-plus-SEO/PPC/SMM agency bundle, which caps the total at 30."
Skip,30,LOW SCORE (30) and capped by: generalist-agency cap 30,Orimark Technologies Private Limited,Bhubaneswar,orimarktechnologies.com,https://orimarktechnologies.com/,Inferred,45,generalist-agency cap 30,25,Verified: 2023 snapshot 'Custom Software & App Development Company India',0,,10,10,"/, careers, blog, about, team",tech-stack,,,,,Swarup Ranjan Mohapatra,CEO,,medium,"Services: functional, automated, performance and UAT testing | FAQ: 'we offer comprehensive SEO services' plus digital marketing, CRM | About: agile and waterfall methodologies chosen per project | ISO 9001/27001/HIPAA claims belong to an advisor's past employers","Pre-2024 software delivery is verified and testing is real, but 35 agency hits bundling SEO and digital marketing with dev cap this at 30."
Skip,30,"LOW SCORE (30) and capped by: generalist-agency cap 30 (binding, reduced from 35)",Sathya Technosoft India Private Limited,Tuticorin,sathyainfo.com,https://www.sathyainfo.com,Inferred,35,"generalist-agency cap 30 (binding, reduced from 35)",25,Verified: 2023 capture shows Java delivery and support portal,0,,10,0,"/, careers, about","blog, team, tech-stack",,,,,,,,low,"2023 Wayback capture shows Java work and AMC portal | 'Leading digital marketing agency' with SEO services | Hardware products, AMC proposals, helpdesk support lines | ISO 9001:2015 and ISO/IEC 27001:2022 certified","GOLD is now proven and ISO certification adds process credibility, but development is bundled with SEO, hardware and AMC/helpdesk, so the generalist-agency cap of 30 binds."
Skip,30,CAPPED — raw 50 cut to 30 by: generalist-agency cap 30,Shass Information & Quality Engineering Services,Guwahati,siqes.com,https://www.siqes.com/,Inferred,50,generalist-agency cap 30,25,Verified: 2020 snapshot 'SIQES | Software Development Company',0,,25,0,"/, careers, blog, about","team, tech-stack",,,,,,,,low,"Services: 'automated deployments and continuous integration workflows' on AWS/Azure | About: ISO 9001:2015, ISO 27001:2015 and CMMI-DEV certified | Digital marketing service line bundled with software and testing | Owns SiqesNet ISP subsidiary alongside the software business","Real CI and certification signals exist, but software is bundled with digital marketing and an ISP arm, which caps the total at 30."
Skip,25,NO ENGINEERING EVIDENCE — no public repo/OSS/eng-blog (Tier A) and no code-review/CI-CD/QA/certification signal (Tier B); scored 25,A5E Consulting Private Limited,Mumbai,a5econsulting.com,https://a5econsulting.com/,Inferred,25,,25,Verified - 2023 wayback advertises Product Engineering,0,,0,0,"/, careers, blog, about, team, tech-stack",,,,,,Saurabh Bhatt,Founder & CEO,,medium,"Wayback 2023: 'Product Engineering and Value Engineering' offering | Homepage repeats same product-engineering boilerplate on every page | own_vcs_orgs empty; no npm packages on domain | Careers and blog reached, no code review or CI/CD language",Pre-2024 existence is proven but product-engineering copy is decorative with zero delivery-process evidence.
Skip,25,NO ENGINEERING EVIDENCE — no public repo/OSS/eng-blog (Tier A) and no code-review/CI-CD/QA/certification signal (Tier B); scored 25,Adient India Private Limited,Pune,adient.com,https://www.adient.com/,Inferred,25,,25,"Pre-2024 site verified, but seating products not software",0,,0,0,"/, careers, blog, about, team, tech-stack",,,,,,,,,low,"Wayback 2023: 'global leader in automotive seating' product portfolio | owns_product excerpts are physical seats, not codebases | qa excerpt is 'quality engineering resources', durability and acoustics testing | own_vcs_orgs empty; no npm packages or engineering blog","Automotive seating manufacturer whose product and engineering language is mechanical, not software delivery."
Skip,25,NO ENGINEERING EVIDENCE — no public repo/OSS/eng-blog (Tier A) and no code-review/CI-CD/QA/certification signal (Tier B); scored 25,AITOBI Technologies Private Limited,Hyderabad,aitobi.co,https://aitobi.co/,Inferred,25,,25,Verified - 2023 snapshot lists AI/ML services and case studies,0,,0,0,"/, blog, about","careers, team, tech-stack",,,,,Roushan Kumar,Chief Executive Officer,,medium,"Wayback 2023: IVR-NLP, machine learning, deep learning, case studies | Only owns_product signal: 'Explore our Products' one-liner | pages_absent: careers, team, tech-stack | own_vcs_orgs empty; no npm packages found",Pre-2024 AI consultancy presence but essentially no engineering-process evidence on reachable pages.
